                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0514,                 3.5593,                 4.3586,                 0.0038,                0.96154,                0.02344,                0.00916,                  2.796,                  3.623,                 4.1494,                 0.0937,                 0.0007,                 0.0007
                      1,                 3.0684,                 3.5002,                 4.2612,                 0.0038,                0.96154,                0.02687,                 0.0109,                 2.7864,                 3.6286,                 4.1358,                0.08645,              0.0014505,              0.0014505
                      2,                 3.0408,                 3.4366,                 4.2654,                0.00387,                0.96154,                0.03348,                 0.0125,                 2.7791,                 3.6281,                 4.1274,               0.079148,              0.0021482,              0.0021482
                      3,                 2.9119,                 3.4108,                 4.1976,                0.00388,                0.96154,                0.03112,                0.01193,                 2.7734,                 3.6371,                 4.1177,               0.071793,              0.0027931,              0.0027931
                      4,                 2.9871,                 3.4453,                 4.1842,                0.00387,                0.96154,                0.03899,                0.01425,                 2.7678,                 3.6433,                  4.108,               0.064385,              0.0033852,              0.0033852
                      5,                  3.127,                 3.4307,                 4.1532,                0.00388,                0.96154,                0.04027,                0.01448,                 2.7576,                  3.638,                 4.0966,               0.056925,              0.0039245,              0.0039245
                      6,                 2.9714,                 3.3718,                 4.1312,                0.00387,                0.96154,                0.03609,                0.01339,                 2.7485,                 3.6406,                 4.0856,               0.049411,               0.004411,               0.004411
                      7,                 2.9928,                  3.369,                 4.1268,                0.00392,                0.96154,                0.03508,                0.01246,                 2.7403,                 3.6317,                 4.0744,               0.041845,              0.0048447,              0.0048447
                      8,                 2.9282,                 3.3129,                 4.1027,                 0.0039,                0.96154,                0.03511,                 0.0123,                 2.7308,                 3.6113,                 4.0615,               0.034226,              0.0052256,              0.0052256
                      9,                 3.0173,                 3.3027,                 4.0886,                0.00389,                0.96154,                0.03862,                0.01287,                 2.7252,                 3.6009,                 4.0528,               0.026554,              0.0055537,              0.0055537
                     10,                 3.0163,                 3.2065,                 4.0789,                0.00386,                0.96154,                0.05335,                0.01648,                 2.7168,                 3.5736,                   4.04,               0.018829,               0.005829,               0.005829
                     11,                 2.9011,                 3.1831,                 4.0454,                0.00384,                0.96154,                0.08373,                 0.0259,                 2.7126,                 3.5277,                 4.0328,               0.011052,              0.0060515,              0.0060515
                     12,                 2.9963,                 3.1171,                 4.0217,                0.00381,                0.96154,                0.08877,                0.02889,                 2.7099,                 3.4868,                 4.0288,                0.00604,                0.00604,                0.00604
                     13,                 2.9647,                 3.1672,                 4.0102,                0.00378,                0.96154,                0.06899,                0.02496,                 2.7076,                 3.4175,                 4.0283,                0.00604,                0.00604,                0.00604
                     14,                 2.8911,                 3.0642,                 3.9667,                0.00377,                0.96154,                0.07571,                0.02812,                 2.7003,                 3.3832,                 4.0245,                0.00571,                0.00571,                0.00571
                     15,                 2.9182,                 3.0825,                 3.9457,                0.00373,                0.96154,                0.05033,                 0.0195,                 2.6851,                  3.367,                 4.0039,                0.00538,                0.00538,                0.00538
                     16,                 2.9042,                 2.9575,                 3.9248,                0.04156,                0.11538,                0.02678,                0.01024,                 2.6562,                 3.4211,                 3.9573,                0.00505,                0.00505,                0.00505
                     17,                 2.8237,                  2.939,                 3.8491,                0.05334,                    0.1,                0.03142,                0.01059,                 2.6235,                 3.3745,                 3.9164,                0.00472,                0.00472,                0.00472
                     18,                 2.8714,                 2.8793,                  3.844,                0.06327,                0.17692,                0.05127,                0.01694,                 2.5978,                 3.2972,                 3.8751,                0.00439,                0.00439,                0.00439
                     19,                  2.886,                 2.7776,                 3.7981,                0.18356,                0.08462,                0.08148,                0.02508,                 2.5904,                 3.2147,                 3.8369,                0.00406,                0.00406,                0.00406
                     20,                 2.4322,                 3.3682,                 3.6729,                0.20204,                0.23846,                0.18472,                0.05905,                 2.5278,                  3.219,                 3.8431,                0.00373,                0.00373,                0.00373
                     21,                 2.5114,                 3.0675,                 3.6844,                 0.2451,                0.39231,                0.22072,                0.07147,                 2.5158,                 2.8825,                  3.889,                 0.0034,                 0.0034,                 0.0034
                     22,                  2.529,                  2.974,                  3.689,                0.22059,                0.35923,                0.20033,                  0.064,                 2.5276,                 2.9328,                 4.0685,                0.00307,                0.00307,                0.00307
                     23,                 2.4143,                 2.9111,                 3.6143,                0.14612,                0.40769,                0.12778,                0.04383,                 2.4995,                 4.0755,                 4.1409,                0.00274,                0.00274,                0.00274
                     24,                 2.4348,                 2.7645,                 3.6047,                0.23909,                0.52308,                0.26902,                0.09746,                 2.4746,                 4.3657,                 4.1431,                0.00241,                0.00241,                0.00241
                     25,                 2.4362,                 2.7573,                 3.5582,                0.15648,                0.51538,                0.18927,                0.06696,                   2.48,                 16.138,                 4.7242,                0.00208,                0.00208,                0.00208
                     26,                 2.4076,                 2.6135,                 3.4522,                0.24007,                0.37692,                0.22739,                0.07823,                 2.4665,                 8.5294,                 4.1738,                0.00175,                0.00175,                0.00175
                     27,                 2.4288,                 2.7329,                 3.5092,                0.20412,                0.43846,                0.18838,                0.06412,                 2.4363,                  6.388,                 3.8824,                0.00142,                0.00142,                0.00142
                     28,                 2.4219,                 2.5698,                 3.4383,                0.32853,                0.46154,                0.28723,                0.09651,                 2.4082,                 3.8317,                 3.6698,                0.00109,                0.00109,                0.00109
                     29,                 2.4046,                 2.6519,                 3.4743,                0.37362,                    0.4,                0.38429,                0.13517,                  2.397,                 2.9261,                 3.5446,                0.00076,                0.00076,                0.00076
